Date,Wochentag,avg_index_miv,avg_index_miv_w,avg_index_velo,avg_index_velo_w,avg_index_fuss,avg_index_fuss_w,avg_index_oev,avg_index_oev_w,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,Lufttemperatur,Niederschlagsdauer,avg_7day_index_miv,avg_7day_index_velo,avg_7day_index_fuss,avg_7day_index_oev,avg_7day_index_retail,avg_7day_index_grocery,avg_7day_index_parks,avg_7day_index_transit,avg_7day_index_work,avg_7day_index_residential,avg_7day_temp,avg_7day_rain
2022-03-12,Samstag,1.05094963140357,1.04515753132717,2.10162061213116,1.75360385198491,1.26375065642837,1.17464561741378,0.938058948080669,0.938030742165033,0.89,1.03,1.66,0.94,1.01,1.02,9.2,0,1.02798984219993,1.45417002435102,1.06443699362236,0.834476497419414,0.831428571428571,1.01428571428571,1.44857142857143,0.865714285714286,0.817142857142857,1.06,4.77142857142857,0
2022-03-13,Sonntag,1.07881794517137,1.06847664924234,1.67726914250354,1.49242606574746,1.25918940415891,0.97014241434408,0.734831015559218,0.734717689659797,0.93,0.97,1.68,0.99,0.98,1.01,10.1,0,1.027017307791,1.48188599800609,1.06596190230192,0.835029961957348,0.835714285714286,1.01714285714286,1.50285714285714,0.875714285714286,0.815714285714286,1.06,5.97142857142857,0
2022-03-14,Montag,0.983513508412416,0.980994659705925,1.32973921660332,1.14989982242937,0.925810881226808,0.781816277364617,0.741285079325238,0.741230947874234,0.78,0.99,1.63,0.85,0.75,1.08,10.6,106.7,1.02449070325101,1.45428041117687,1.02269427579539,0.832094364062201,0.835714285714286,1.01571428571429,1.54857142857143,0.882857142857143,0.822857142857143,1.05857142857143,7.25714285714286,15.2428571428571
2022-03-15,Dienstag,0.988547342975901,0.984491279589253,1.83166368753801,1.58193681330757,1.32658818120913,1.05335243040014,0.751862339134366,0.751798527323509,0.78,1.02,1.23,0.86,0.78,1.09,8.6,303.4,1.0212830582589,1.47432405004676,0.998475331210856,0.830065604523324,0.827142857142857,1.01,1.50285714285714,0.882857142857143,0.825714285714286,1.06142857142857,8.22857142857143,58.5857142857143
2022-03-16,Mittwoch,1.05196744617289,1.04823532384904,1.72418584300515,1.50020507751435,1.15168801544952,0.94657363516784,0.802778178107744,0.802571714730994,0.8,0.99,1.46,0.86,0.77,1.07,10.5,0,1.0199846994751,1.48327570924263,0.973588549913495,0.829520762675363,0.824285714285714,1.01,1.5,0.882857142857143,0.828571428571429,1.06142857142857,9,58.5857142857143
2022-03-17,Donnerstag,1.0274191238592,1.02287865292013,1.42922908291812,1.20931334794715,0.909102495248122,0.816685635366181,0.747723582723634,0.747441724355516,0.79,1.05,1.23,0.85,0.78,1.08,10.6,0,1.02053716855595,1.45882222623402,0.960390918777641,0.822338635345104,0.822857142857143,1.01142857142857,1.48,0.881428571428572,0.831428571428571,1.06285714285714,9.55714285714286,58.5857142857143
2022-03-18,Freitag,1.00771941398964,1.00345491495784,1.96529349656325,1.63708893351387,1.21186610195816,1.04820342236122,0.77642690624574,0.77636095363827,0.78,1.04,1.12,0.81,0.77,1.09,9.2,252.6,1.02195557308453,1.47492484463496,0.970202776059694,0.784709435596658,0.821428571428572,1.01285714285714,1.43,0.88,0.834285714285714,1.06285714285714,9.82857142857143,94.6714285714286
2022-03-19,Samstag,1.05391707403589,1.04457369704104,2.25116594080766,1.86923511353,1.24692460410365,1.19015381496592,0.899746068425066,0.899969551047106,0.87,1.05,1.8,0.92,1,1.02,8.6,0,1.02187216818651,1.49144359628426,0.972418232852857,0.779236167074429,0.818571428571429,1.01571428571429,1.45,0.877142857142857,0.832857142857143,1.06285714285714,9.74285714285714,94.6714285714286
2022-03-20,Sonntag,1.10583749304193,1.09399571959951,1.7898154130491,1.5456904498168,1.26728007236853,0.966245803163302,0.753799580600039,0.75362778845724,0.97,1.02,1.67,0.99,0.98,1.01,9.5,0,1.0255177496661,1.49905279400845,0.971861574112745,0.781945962080261,0.824285714285714,1.02285714285714,1.44857142857143,0.877142857142857,0.832857142857143,1.06285714285714,9.65714285714286,94.6714285714286
2022-03-21,Montag,0.998030830775731,0.997131719404375,2.03295062362317,1.72002041630977,1.44993070069435,1.05339897349953,0.767337284504356,0.767248988685551,0.8,1.03,1.63,0.85,0.76,1.08,10.3,0,1.02782304390874,1.58049859313422,1.01065910213202,0.785667705677278,0.827142857142857,1.02857142857143,1.44857142857143,0.877142857142857,0.834285714285714,1.06285714285714,9.61428571428571,79.4285714285714
2022-03-22,Dienstag,1.00846931481745,1.00456600671572,2.21020575555181,1.81664915766957,1.45951977365978,1.18400747483272,0.794475841693279,0.794417747350405,0.84,1.06,2.01,0.89,0.81,1.07,10.3,0,1.03069086206966,1.61402892804308,1.02932410847953,0.791755348899979,0.835714285714286,1.03428571428571,1.56,0.881428571428572,0.838571428571429,1.06,9.85714285714286,36.0857142857143
